,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
0,ORD036118,ID6167417968,2019-11-20,Nickolson,"[('iStream', 2), ('pearTV', 2), ('iAssist Line', 2)]",17370,99.66,-37.8120161,144.9703916,25,13127.16,Spring,True,0.7361,nice phone has some third-party software optional and i really couldn't open the sim door with the key provided,True
1,ORD320598,ID3155747268,2019-04-06,Thompson,"[('Olivia x460', 1), ('pearTV', 1), ('Alcon 10', 1), ('iStream', 1)]",16635,68.76,-37.799366799999994,144.96004140000005,0,16703.76,Autumn,True,1.8697,one star poor quality,False
2,ORD398951,ID0775933250,2019-12-02,Thompson,"[('Toshika 750', 2), ('iStream', 1), ('Thunder line', 2), ('Lucent 330S', 2)]",15610,99.3,-37.8059149,144.95914009999996,0,15709.3,Summer,True,1.3012,great fast shipping. great product,True
3,ORD161295,ID2398373283,2019-02-13,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 2), ('Thunder line', 2)]",15770,64.35,-37.8191916,144.9340419,15,13468.85,Summer,False,1.356,oops! ordered in error. trying to buy a basic phone.,False
4,ORD103428,ID6167278761,2019-10-24,Thompson,"[('Toshika 750', 1), ('Alcon 10', 2), ('pearTV', 1)]",28530,72.6,-37.81505739999999,144.952147,5,27176.1,Spring,False,0.5195,... who operates a log skidder and it has been wonderful and almost undesructable i got this for my son who operates a log skidder and it has been wonderful and almost undesructable.,True
5,ORD244802,ID0282854638,2019-08-02,Bakers,"[('Universe Note', 1), ('Lucent 330S', 2), ('Candle Inferno', 2)]",6770,87.86,-37.8012094,145.01931409999997,15,5842.36,Winter,True,2.333,"if you are using digico gold, you definitely like this table as it can stream the video, audio, reading book... easy to carry with you",True
6,ORD406262,ID4380043472,2019-09-19,Bakers,"[('Olivia x460', 1), ('Candle Inferno', 1), ('Alcon 10', 2), ('Lucent 330S', 1)]",20785,106.77,-37.8230514,144.98890680000005,10,18813.27,Spring,True,1.5561,the alcon was in good conditions but it had some scratches by the battery ... the alcon was in good conditions but it had some scratches by the battery and the other alcon i ordered has scratches too but ig thats normal ?,True
7,ORD269826,ID0746912564,2019-08-08,Nickolson,"[('iStream', 2), ('Alcon 10', 1)]",9250,80.7,-37.824563299999994,144.982912,15,7943.2,Winter,True,1.3497,i love it. great phone. i added a good glass screen protector so i haven't had the issues other people have reported.,True
8,ORD033777,ID0233555341,2019-06-07,Bakers,"[('pearTV', 2), ('iAssist Line', 1), ('iStream', 1), ('Alcon 10', 2)]",32895,79.32,-37.8078065,144.9827549,10,29684.82,Winter,True,1.1241,"battery this phone was received earlier than anticipated from the seller. i've only been using it a few days but so far so good. the battery lasts all day on one charge and i use my phone. i watch videos, i play games and i'm on instagram a lot so very happy on that. i'll update in a year",True
9,ORD306838,ID0393115051,2019-05-30,Bakers,"[('Alcon 10', 1), ('pearTV', 2), ('Candle Inferno', 2)]",22430,64.08,-37.8117922,144.9989378,5,21372.58,Autumn,True,0.3823,"such a great company .i am amaze i am speechless, thanks a lot. phone is truly new.",True
10,ORD182474,ID2096325820,2019-09-12,Thompson,"[('Olivia x460', 2), ('iStream', 1), ('Candle Inferno', 2), ('Universe Note', 2)]",10360,107.94,-37.800588299999994,144.9537663,10,9431.94,Spring,True,1.4686,good phone very good prepaid phone. it has bugged out a little at first but works better than most prepaid phones i have had in the past. hasn't been any problems since the initial problems.,True
11,ORD272938,ID6202471412,2019-12-22,Nickolson,"[('Toshika 750', 1), ('pearTV', 2)]",16940,75.95,-37.821673,144.9811432,0,17015.95,Summer,False,1.0754,"great phone it's been a great phone with great battery life. it lacks the phone jack, which i never thought of, but i don't need. some may. the water resistance is a great feature. overall, it's been fantastic.",True
12,ORD155865,ID1457647364,2019-12-30,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 1)]",11410,72.88,-37.812317900000004,144.9658842,10,10341.88,Summer,False,0.7696,four stars love the phone but lost cortana when i upgraded. anyone help me get her back?,True
13,ORD395647,ID0030220684,2019-02-09,Bakers,"[('iStream', 2), ('Lucent 330S', 1), ('iAssist Line', 1)]",3755,95.73,-37.8090334,144.985669,5,3662.98,Summer,True,0.8478,just get one! too many things to list. i love this phone.,True
14,ORD166056,ID0401505827,2019-08-17,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 2)]",6910,67.22,-37.7984351,144.986345,10,6286.22,Winter,True,1.5057,phone is lock it is can't run for digico flex app.,False
15,ORD244692,ID0741702068,2019-08-17,Bakers,"[('Alcon 10', 1), ('iStream', 2), ('Thunder line', 1)]",11430,65.05,-37.8152387,144.9753145,0,11495.05,Winter,False,1.8463,nice deals on the product with saving and good customet experience.,True
16,ORD066304,ID3218293529,2019-09-03,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1)]",5180,88.62,-37.804107,144.9483779,15,4491.62,Spring,True,0.9605,one star global roaming was not unlocked had to returnphone,False
17,ORD364398,ID1463547043,2019-07-16,Thompson,"[('Toshika 750', 1), ('Universe Note', 2), ('iStream', 1)]",11370,67.16,-37.819840299999996,145.0041663,0,11437.16,Winter,False,5.084,"xp forever i like the picture quality, i like the sleek design as well as the speed of the operating system. updating my review. my xp starting to give me issues as it doesn't want to accept a charge anymore. lowering from a 5 star to 4 🌟",True
18,ORD212624,ID0368380426,2019-05-01,Nickolson,"[('iAssist Line', 2), ('Universe Note', 1), ('Lucent 330S', 2), ('Alcon 10', 1)]",19310,57.06,-37.799235100000004,144.9718408,10,17436.06,Autumn,False,2.1645,poor battery battery wont stay charged,False
19,ORD440335,ID6167191701,2019-01-07,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Alcon 10', 1)]",10610,94.68,-37.8189749,144.9549254,25,8052.18,Summer,True,0.9846,five stars snow drift 1 - olivia a157 gophone 0 it worked very well up to that point though!,True
20,ORD031942,ID1492169348,2019-09-28,Thompson,"[('iStream', 2), ('Candle Inferno', 2), ('Olivia x460', 2), ('Toshika 750', 1)]",7930,110.77,-37.8003784,144.9639538,5,7644.27,Spring,True,2.0195,None,True
21,ORD441954,ID0331163565,2019-10-20,Nickolson,"[('Thunder line', 2), ('Toshika 750', 2)]",13000,111.55,-37.7999599,144.968097,25,9861.55,Spring,True,2.0783,screen cracked on a cold day that sucks!! wish olivia would cover repairs teenage son still likes it. screen cracked on a cold day that sucks!! wish olivia would cover repairs. 0 degrees out and the screen just snapped.,True
22,ORD178518,ID2489014343,2019-05-22,Bakers,"[('Candle Inferno', 1), ('iStream', 1)]",580,56.01,-37.7984899,144.9779754,15,549.01,Autumn,False,1.986,"does not work on verizon just in case you were thinking of buying this phone and have verizon, it will not work.",False
23,ORD002527,ID0224761654,2019-05-31,Bakers,"[('Universe Note', 1), ('pearTV', 1), ('Candle Inferno', 2)]",10620,63.14,-37.8051531,144.9940216,5,10152.14,Autumn,False,0.5495,purchased as a replacement for an older candle and the inferno hd did not disappoint. the intended recipient was thrilled that a camera came with it. well worth the money.,True
24,ORD138515,ID6206873033,2019-04-07,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 1)]",4680,51.21,-37.8233549,144.95991709999996,0,4731.21,Autumn,True,0.9992,"one star garbage, fake, pos",False
25,ORD221088,ID1224869091,2019-05-02,Thompson,"[('Universe Note', 1), ('Toshika 750', 2), ('Lucent 330S', 2)]",14550,48.16,-37.813486499999996,144.94080480000005,10,13143.16,Autumn,False,0.5583,phone is defective. i will be sending in for ... phone is defective. i will be sending in for diagnostic review.,False
26,ORD351234,ID4716795598,2019-12-29,Thompson,"[('Thunder line', 1), ('iStream', 2), ('pearTV', 1), ('iAssist Line', 2)]",13240,60.38,-37.8186803,144.9531871,15,11314.38,Summer,False,0.8583,tried to use it for and it's does not work as ebookwhich is why i am not satisfied ..,False
27,ORD337611,ID1881118511,2019-06-13,Thompson,"[('pearTV', 1), ('Lucent 330S', 1), ('iAssist Line', 1)]",9765,69.1,-37.7999196,144.9626861,25,7392.85,Winter,True,1.9754,two stars microphone stopped working within 2 months,False
28,ORD107542,ID0298099652,2019-10-11,Bakers,"[('Alcon 10', 1), ('Universe Note', 2), ('Olivia x460', 1)]",17075,109.55,-37.80068660000001,144.97874209999995,10,15477.05,Spring,True,1.7825,"five stars works great no problems, thank you thank you thank you",True
29,ORD472072,ID6167285772,2019-11-02,Nickolson,"[('iAssist Line', 2), ('pearTV', 2), ('Thunder line', 1)]",19250,104.34,-37.8102069,144.9613311,10,17429.34,Spring,True,1.1808,good price renewed from digico? sometimes it's worth.,True
30,ORD429920,ID0368390004,2019-09-19,Nickolson,"[('Thunder line', 2), ('iAssist Line', 1), ('Olivia x460', 2), ('Candle Inferno', 2)]",9895,94.45,-37.8013061,144.972184,0,9989.45,Spring,True,1.9384,"the phone is not what i thought it would be ... the phone is not what i thought it would be. it's more at&t then windows itself and the software is 7.8 and not windows 8. i should have read about it before buying it, but that's my fault .",False
31,ORD167507,ID3067843940,2019-11-18,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 2), ('Lucent 330S', 2)]",5770,62.92,-37.80051870000001,145.0018179,10,5255.92,Spring,False,1.2036,disappointing bad battery,False
32,ORD456103,ID5001030345,2019-10-26,Thompson,"[('iAssist Line', 1), ('Universe Note', 2)]",9125,58.63,-37.8107806,144.95292080000004,15,7814.88,Spring,False,0.5561,this phone is locked to sprint. this phone is not unlocked. it is locked with sprint. i tried with verizon and tmobile i kept getting uicc error for sprint. please do not trust the description here.,False
33,ORD432807,ID0496572534,2019-03-07,Bakers,"[('Thunder line', 2), ('Candle Inferno', 2), ('iStream', 1), ('Universe Note', 1)]",8820,69.84,-37.799772999999995,145.0123966,5,8448.84,Autumn,False,1.8905,awesome and smart awesome it's my dream phone,True
34,ORD332021,ID0252588540,2019-12-16,Nickolson,"[('iAssist Line', 2), ('Thunder line', 1)]",6630,59.41,-37.82097260000001,144.9762569,0,6689.41,Summer,True,0.6464,"junk! battery came in not wanting to charge, replaced the charge port (had one from parts phone) began charging only has 70% battery capacity... junk",False
35,ORD382767,ID0780910447,2019-05-10,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 1)]",2455,66.43,-37.80376210000001,144.9563764,15,2153.18,Autumn,False,1.2861,value bought it for my son and it looks a lot like my s8+ at a fraction of the cost.,True
36,ORD399838,ID0053133862,2019-10-15,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('pearTV', 1)]",11060,80.72,-37.80112800000001,144.95511530000005,0,11140.72,Spring,False,1.4671,droid rulzs love this phone. battery life is amazing,True
37,ORD166506,ID0243097397,2019-10-06,Nickolson,"[('iAssist Line', 2), ('Universe Note', 2), ('Lucent 330S', 2), ('Alcon 10', 2)]",31710,71.16,-37.8179366,144.966773,15,27024.66,Spring,False,0.255,"great buy what a buy, this phone is excellent. i really like this phone as i think it was brand new. thank you",True
38,ORD167538,ID4754129529,2019-02-01,Thompson,"[('Olivia x460', 1), ('iAssist Line', 1), ('Lucent 330S', 2)]",5910,71.57,-37.8086348,144.9229018,10,5390.57,Summer,False,2.1724,two stars battery problm,False
39,ORD025052,ID1492169330,2019-08-15,Thompson,"[('Thunder line', 2), ('Candle Inferno', 2), ('pearTV', 2)]",17840,56.41,-37.8010798,144.9639765,0,17896.41,Winter,False,1.9689,did not work on metro pcs or tmobile did not work with metro pcs by tmobile or tmobile. i tried both ....the salesman said probably unlocked phone but does not work with those carriers or defective phone.,False
40,ORD482924,ID4655129065,2019-03-17,Thompson,"[('Thunder line', 1), ('iAssist Line', 1), ('iStream', 1)]",4555,62.51,-37.8098883,144.9477015,10,4162.01,Autumn,True,0.315,"i’m really enjoying this product. love the flash briefing, the timers, the weather reports and more.",True
41,ORD435747,ID0241807177,2019-01-05,Thompson,"[('Candle Inferno', 2), ('pearTV', 2), ('iAssist Line', 2), ('Toshika 750', 2)]",26570,59.61,-37.8103283,144.9834863,15,22644.11,Summer,False,3.2133,don't buy from digico sold defective unit. battery is already balooned and barely fits into phone,False
