,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
0,ORD044475,ID4336550012,2019-10-31,Thompson,"[('iStream', 1), ('iAssist Line', 1)]",2375.0,84.9,-37.798447700000004,144.9590122,10,2222.4,Spring,False,1.9003,just fine personal phone seems to be working just fine so far,1.0
1,ORD470983,ID0202772800,2019-10-01,Thompson,"[('iStream', 2), ('Toshika 750', 2), ('Alcon 10', 2)]",26840.0,71.91,-37.8052525,144.9260628,25,20201.91,Spring,False,2.0237,already dead! broke after 2 months!,0.0
2,ORD210360,ID0241807196,2019-12-09,Bakers,"[('pearTV', 2), ('Toshika 750', 1), ('Alcon 10', 1)]",25890.0,72.95,-37.8133109,144.98850359999997,10,23373.95,Summer,False,0.6973,"buy factory unlocked to many at&t apps,the processor is slower than i expected,i also expected more battery hours.a constant notifications alert most of the time.however,good screen size,sharp images and color.---in the future i would purchase a (factory unlocked) unit.",1.0
3,ORD161496,ID2312383360,2019-12-28,Bakers,"[('Alcon 10', 1), ('Universe Note', 2), ('iAssist Line', 1), ('iStream', 1)]",18225.0,76.34,-37.8087984,145.00884680000001,15,15567.59,Summer,False,1.2048,five stars love my phone..great price,1.0
4,ORD036735,ID1492410220,2019-06-13,Thompson,"[('iAssist Line', 1), ('Olivia x460', 1), ('Alcon 10', 1)]",12400.0,57.48,-37.8031011,144.9633841,15,10597.48,Winter,False,1.7873,"how bad is horrible? mine didn't work. it must have been a defective one. the screen cracks by itself, when left in the sun. the seller won't stand behind a plainly bad product.",0.0
5,ORD441479,ID0477079749,2019-11-09,Bakers,"[('iStream', 2), ('pearTV', 1), ('Universe Note', 2), ('Olivia x460', 2)]",15960.0,106.4,-37.8062074,144.9785247,0,16066.4,Spring,True,1.5287,will be on top! 1. call quality is amazingly clear. 2. camera is the best of its class. i love photography and this is the best camera phone. instagram please on window phone 8! 3. i was totally amazed by the screen. very clear! 4. the speakers produces great sounds. 5. it's xp!,1.0
6,ORD457110,ID1463620717,2019-08-06,Bakers,"[('iAssist Line', 2), ('Toshika 750', 2)]",13090.0,77.88,-37.8163859,145.00429319999995,5,12513.38,Winter,True,1.0681,"four stars works good like the wireless charging, loses battery charge faster then i like",1.0
7,ORD063394,ID0589472358,2019-12-29,Nickolson,"[('pearTV', 2), ('iAssist Line', 1), ('Alcon 10', 1), ('Universe Note', 1)]",27245.0,80.31,-37.8093223,144.9730396,0,27325.31,Summer,True,1.0768,was not as advertised. it was not compatible with sprint.,0.0
8,ORD330090,ID0579486160,2019-01-23,Thompson,"[('Lucent 330S', 1), ('Thunder line', 2)]",5590.0,90.8,-37.815112,144.94963230000005,25,4283.3,Summer,True,0.3529,it works well everything works great. great camera. weak speakers,1.0
9,ORD186933,ID6167441053,2019-08-01,Nickolson,"[('iAssist Line', 2), ('Universe Note', 1), ('Thunder line', 1), ('Lucent 330S', 2)]",12540.0,62.47,-37.8121351,144.96234119999997,10,11348.47,Winter,True,0.9587,really in 2018??? not working on verizon is ridiculous in 2018!!!!!!,0.0
10,ORD207429,ID0472236193,2019-12-14,Thompson,"[('iStream', 2), ('pearTV', 2), ('Universe Note', 2), ('Lucent 330S', 1)]",21050.0,105.62,-37.801094899999995,144.9669399,15,17998.12,Summer,True,1.0377551910585958,"very good product. very good, love it.",1.0
11,ORD234452,ID0547568822,2019-09-06,Bakers,"[('Candle Inferno', 1), ('Alcon 10', 2), ('Toshika 750', 1), ('Universe Note', 2)]",29550.0,75.35,-37.8129835,144.988359,5,28147.85,Spring,False,0.6899,a decent android phone dual sim unlocked makes it a good backup when traveling internationally. good value for the money. hard to get used to the android system. prefer alcon>,1.0
12,ORD351582,ID1463620910,2019-08-30,Bakers,"[('Olivia x460', 1), ('Alcon 10', 1), ('iStream', 2)]",10475.0,78.2,-37.8176225,145.005412,0,10553.2,Winter,True,1.2338,"its a great phone, but the battery just doesn't last as ... its a great phone, but the battery just doesn't last as long as it should. sometimes it will last for almost a day and sometimes not even an entire day. i like it but i would also like the batter to last longer.",1.0
13,ORD190604,ID0746912551,2019-05-20,Nickolson,"[('Toshika 750', 1), ('Candle Inferno', 2), ('Alcon 10', 1), ('pearTV', 2)]",26750.0,68.3,-37.82507920000001,144.9827779,10,24143.3,Autumn,False,1.3688,best android or 2019 10/10,1.0
14,ORD073738,ID1521014718,2019-08-30,Bakers,"[('Olivia x460', 1), ('pearTV', 2)]",13845.0,78.09,-37.7998614,144.9932054,15,11846.34,Winter,True,1.1422,five stars great phone. just as advertised!,1.0
15,ORD494550,ID2299500155,2019-06-10,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 1), ('Thunder line', 2), ('iAssist Line', 1)]",9475.0,69.58,-37.8051604,144.9602013,0,9544.58,Winter,False,1.4259,five stars i love my phone :),1.0
16,ORD226586,ID1492169362,2019-01-29,Thompson,"[('Olivia x460', 2), ('Universe Note', 2)]",9350.0,85.72,-37.7992761,144.9641615,25,7098.22,Summer,False,2.1175,amazing cellphone for the price very good for the price,1.0
