,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
0,ORD017660,ID0576860055,2019-05-16,Bakers,"[('Toshika 750', 1), ('iStream', 1)]",4470,80.49,-37.8246942,144.98897309999995,10,4103.49,Autumn,False,1.7262,one star im in the process of returning it because it did not work properly.,False
1,ORD102444,ID6245731020,2019-03-01,Nickolson,"[('Candle Inferno', 1), ('iAssist Line', 1), ('iStream', 1)]",2805,80.41,-37.8106616,144.9762036,10,2604.91,Autumn,True,1.0593,help??? my carrier is tmobile and it says that this phone is at&t locked. so im not sure if i could use this phone using my simcard.,True
2,ORD293491,ID0663120915,2019-10-21,Thompson,"[('Toshika 750', 2), ('iAssist Line', 2), ('Candle Inferno', 2), ('Olivia x460', 2)]",16400,82.98,-37.8002297,144.9550618,15,14022.98,Spring,False,1.5533,"i purchased this as a gift for my wife and she loves it. she has an older candle, and she can't believe how much better the oasis is.",True
3,ORD349968,ID2236727775,2019-08-09,Bakers,"[('Alcon 10', 1), ('iStream', 1), ('Olivia x460', 1), ('iAssist Line', 2)]",14775,64.65,-37.81071770000001,145.0023388,15,12623.4,Winter,False,0.6302,five stars enjoying the phone.,True
4,ORD126373,ID2005895256,2019-02-05,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 1), ('Olivia x460', 2)]",7090,83.66,-37.8021513,144.96619840000002,10,6464.66,Summer,False,1.8541,microphone issue good expect the microphone started bugging out a few weeks in,True
5,ORD278869,ID5424203793,2019-01-07,Nickolson,"[('pearTV', 2), ('Lucent 330S', 1), ('Candle Inferno', 2)]",14710,112.515,-37.8223776,144.9786625,5,14087.015,Summer,False,0.9051,"great gift great speed, screen, storage, everything, loved it",True
6,ORD352492,ID1449431597,2019-03-10,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 2), ('iAssist Line', 1), ('Alcon 10', 2)]",26035,64.57,-37.8134021,144.9739325,15,22194.32,Autumn,False,0.6947,thumbs up the phone was in excellent cosmetic and working shape. highly recommended,True
7,ORD241410,ID0541122905,2019-03-29,Bakers,"[('Thunder line', 1), ('pearTV', 1), ('Olivia x460', 2), ('Toshika 750', 2)]",19580,66.74,-37.802745200000004,145.0094654,15,16709.74,Autumn,True,1.4895,one star horrible,False
8,ORD266230,ID6167278758,2019-04-09,Thompson,"[('Universe Note', 1), ('Lucent 330S', 2), ('pearTV', 1), ('iStream', 1)]",12370,64.99,-37.81323870000001,144.95163349999999,10,11197.99,Autumn,False,0.4063,five stars amazing phone with good price! i got this phone win original box with full accessories.,True
9,ORD186990,ID0677245570,2019-05-10,Nickolson,"[('iStream', 1), ('Candle Inferno', 1), ('iAssist Line', 1)]",2805,52.25,-37.8021747,144.96675869999999,15,2436.5,Autumn,False,1.8443,don’t do it bought it for my little sister and it doesn’t work. i believe it’s locked or something. the apps always crash before they even open.,False
10,ORD205949,ID4716795152,2019-07-31,Thompson,"[('Olivia x460', 1), ('iStream', 1), ('Toshika 750', 1), ('Thunder line', 2)]",10055,62.85,-37.81858,144.9533978,15,8609.6,Winter,True,0.8615,it lasted 3 months the lcd screen burnt out with no reason... it is almost impossible to find a lcd replacement...,False
11,ORD452830,ID0575434448,2019-01-27,Nickolson,"[('Alcon 10', 2), ('Candle Inferno', 2), ('Thunder line', 1), ('Universe Note', 1)]",24390,80.75,-37.819804100000006,144.98529069999995,0,24470.75,Summer,False,1.3906,phone is just amazing delivered in time. phone is just amazing,True
12,ORD469313,ID2188404538,2019-05-17,Nickolson,"[('iAssist Line', 2), ('pearTV', 1), ('Candle Inferno', 1)]",11190,64.32,-37.8131356,144.9668918,5,10694.82,Autumn,True,0.6512,"horrid!! this phone was slow and glitchy. i was pissed when i started using it, i'd had the same one before and missed it, so i ordered this one and was very disappointed",False
13,ORD268364,ID6167191735,2019-05-23,Nickolson,"[('iAssist Line', 2), ('iStream', 2)]",4750,77.21,-37.81559220000001,144.9665938,25,3639.71,Autumn,True,0.4235,great phone for the price. just a great phone works great.,True
14,ORD429166,ID0702363502,2019-04-26,Thompson,"[('iAssist Line', 1), ('pearTV', 1), ('Alcon 10', 2), ('Thunder line', 1)]",28615,49.42,-37.8062,144.94206269999995,5,27233.67,Autumn,False,0.8444,"no stating that this phone has the old style charge ... no stating that this phone has the old style charge connection,, of which is not compatible with the latest. meaning- the cord does nt fit into any other amsung device.",False
15,ORD439678,ID6167230989,2019-06-21,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 1), ('iStream', 2)]",11710,51.5,-37.81900770000001,144.9543041,0,11761.5,Winter,False,0.9498,sold me a stolen phone i was informed that the phone i received from this company was reported stolen when i took it to be activated at my local verizon wireless.,False
17,ORD432817,ID1681675858,2019-10-04,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360,88.76,-37.810522999999996,144.97605380000005,5,19430.76,Spring,True,1.0651,no way to charge the cell phone with charger the cell phone i received came packagef with a micro charger instead of a charger that would actually charge thenote 3 phone i purchased.,False
18,ORD379795,ID0591429117,2019-12-30,Nickolson,"[('Lucent 330S', 2), ('pearTV', 1), ('Olivia x460', 1)]",9995,88.99,-37.8180119,144.96497580000005,10,9084.49,Summer,True,0.4075,one of the best mid-range phones in the market a perfect gift!,True
